provinsi,komoditas,golongan_pengeluaran,konsumsi_perkapita_per_minggu,jumlah_penduduk,persentase_kemiskinan,tingkat_pengangguran,akses_pendidikan,fasilitas_kesehatan,akses_air_bersih,kategori_kemiskinan
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.5,0.56,2561,29.86,9.3,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.5,1.35,741,16.06,5.59,baik,tidak memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,200 000- 299 999.6,4.09,2541,9.69,5.37,baik,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.6,2.13,3324,24.43,16.81,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.6,2.81,3112,28.16,14.11,baik,memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.6,3.74,1863,25.39,15.38,buruk,memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.6,4.43,1978,23.63,11.3,buruk,tidak memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.6,4.61,3056,13.37,10.77,sedang,memadai,tidak,rendah
Sumatera Utara,Jagung basah degan kulit,200 000- 299 999.7,0.64,1275,6.61,6.59,baik,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.7,4.88,4514,10.03,5.86,sedang,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,500 000- 749 999.7,2.89,534,16.17,5.62,sedang,memadai,ya,sedang
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.7,4.59,3652,28.9,19.86,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.7,3.09,2455,23.07,16.96,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.7,2.0,2085,25.71,13.64,baik,tidak memadai,tidak,tinggi
Sumatera Utara,Jagung basah degan kulit,200 000- 299 999.8,3.58,4443,11.93,6.64,buruk,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.8,4.24,3573,22.1,8.74,sedang,memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.8,2.62,1521,26.56,8.96,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,750 000- 999 999.8,0.87,3961,16.99,11.12,buruk,tidak memadai,ya,sedang
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.8,0.91,3113,15.75,10.17,sedang,tidak memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.8,4.27,4343,22.99,18.88,buruk,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.9,3.42,2000,19.0,15.25,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.9,1.17,661,29.83,4.38,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.9,3.34,4797,15.63,9.12,baik,memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.9,0.69,2481,9.4,5.26,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.9,1.28,1495,16.8,7.75,buruk,memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.9,4.72,3842,10.88,19.3,buruk,memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,200 000- 299 999.10,4.29,4298,19.03,14.99,buruk,memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.10,1.87,1775,8.14,3.13,sedang,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.10,4.85,1516,28.75,8.59,baik,memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.10,2.56,837,26.5,10.46,baik,tidak memadai,tidak,tinggi
Sumatera Utara,Jagung basah degan kulit,1 000 000- 1 499 999.10,4.67,1378,8.89,13.24,baik,memadai,tidak,rendah
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.10,1.2,1576,9.31,11.5,sedang,memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.11,2.81,4493,17.81,4.19,baik,tidak memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.11,1.78,879,24.32,11.76,sedang,memadai,ya,sedang
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.11,3.34,992,10.48,5.21,buruk,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,750 000- 999 999.11,1.37,2562,6.52,11.83,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.11,4.13,4384,18.64,7.18,baik,memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.11,1.67,564,22.29,5.45,baik,memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,200 000- 299 999.12,1.41,3068,11.11,7.89,buruk,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.12,1.01,2527,23.49,4.69,buruk,memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,500 000- 749 999.12,4.75,3195,28.77,7.83,baik,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,750 000- 999 999.12,2.32,1995,8.43,17.74,buruk,memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.12,4.26,891,17.78,8.22,sedang,memadai,tidak,sedang
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.12,1.73,4974,6.42,10.99,buruk,memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.13,1.96,4061,10.17,11.84,sedang,tidak memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,300 000- 499 999.13,0.98,2778,7.25,6.03,buruk,memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.13,1.71,3599,15.1,10.51,sedang,tidak memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,750 000- 999 999.13,1.3,700,25.52,17.5,baik,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,1 000 000- 1 499 999.13,1.86,3604,19.43,4.37,baik,tidak memadai,tidak,sedang
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.13,2.7,2954,10.56,18.69,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.14,0.83,4145,6.0,17.81,baik,memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.14,0.81,1304,18.83,17.55,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.14,1.16,3231,8.32,6.38,baik,tidak memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.14,1.15,3273,13.57,11.23,sedang,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,1 000 000- 1 499 999.14,2.03,2070,17.75,13.47,sedang,tidak memadai,tidak,sedang
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.14,3.91,3190,27.59,4.7,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.15,2.18,4340,7.05,12.47,buruk,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.15,2.74,1528,21.72,17.28,buruk,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.15,4.49,1002,5.35,18.92,sedang,memadai,tidak,tinggi
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.15,2.0,4993,20.75,7.73,buruk,tidak memadai,ya,sedang
Sumatera Barat,Jagung basah degan kulit,> 1 500 000.15,4.3,1370,18.79,7.91,sedang,memadai,tidak,sedang
Sumatera Utara,Jagung basah degan kulit,300 000- 499 999.16,2.49,4988,25.3,7.6,buruk,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.16,1.49,706,18.29,5.61,baik,tidak memadai,tidak,sedang
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.16,2.37,1984,13.82,10.32,buruk,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.16,3.56,1363,11.07,16.34,baik,tidak memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.16,0.88,3290,7.13,15.11,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,300 000- 499 999.17,0.96,1063,18.37,18.31,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,500 000- 749 999.17,3.96,4691,27.21,9.05,sedang,tidak memadai,tidak,tinggi
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.17,2.56,2257,17.87,12.73,sedang,memadai,tidak,sedang
Sumatera Utara,Jagung basah degan kulit,1 000 000- 1 499 999.17,4.25,2178,23.48,16.03,sedang,memadai,tidak,tinggi
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.17,3.0,3742,12.46,18.27,sedang,tidak memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.18,4.33,1559,16.2,17.82,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.18,3.42,2222,13.12,10.91,baik,memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.18,3.15,3814,7.73,18.42,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.18,4.01,3657,15.42,10.55,sedang,memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.18,3.22,3125,24.11,18.35,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.19,3.48,3229,14.87,16.21,baik,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.19,4.66,2097,21.25,6.77,sedang,tidak memadai,tidak,sedang
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.19,3.98,3560,23.97,18.8,buruk,memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.19,2.65,3193,13.07,7.12,baik,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.19,2.52,4127,24.94,18.44,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,300 000- 499 999.20,3.44,1863,13.47,13.46,baik,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.20,4.19,2481,11.4,14.35,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.20,1.17,2163,10.56,4.86,baik,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.20,3.16,2029,10.0,4.12,buruk,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.20,4.06,2538,23.43,19.46,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999,1.515,3802,27.19,8.73,buruk,memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999,1.28,2737,10.77,17.35,sedang,memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999,1.42,1806,7.13,14.98,sedang,tidak memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999,1.429,4529,12.84,13.27,buruk,memadai,tidak,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999,1.419,3175,21.45,14.65,baik,memadai,tidak,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000,1.305,1782,14.21,4.52,baik,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,150 000- 199 999.1,1.478,1209,18.73,10.01,buruk,memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.1,1.694,4913,23.61,13.32,buruk,tidak memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.1,1.728,4248,15.21,17.75,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.1,1.83,1163,29.99,15.15,baik,memadai,tidak,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.1,1.838,2498,12.45,7.3,sedang,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.1,1.89,3945,29.46,19.74,sedang,memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.1,1.715,4243,10.08,13.93,buruk,tidak memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,150 000- 199 999.2,1.478,1995,7.77,11.52,baik,tidak memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.2,1.661,3804,23.77,16.28,buruk,memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.2,1.608,4263,22.56,13.25,baik,memadai,tidak,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.2,1.683,2353,25.28,15.07,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.2,1.68,1791,13.59,13.49,baik,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.2,1.677,4081,28.27,6.04,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.2,1.438,3957,7.99,12.24,baik,tidak memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,150 000- 199 999.3,2.0,2136,5.76,7.81,baik,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.3,1.422,4196,12.51,12.69,sedang,tidak memadai,tidak,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.3,1.368,3499,24.93,5.13,sedang,tidak memadai,tidak,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.3,1.401,3652,21.82,6.94,buruk,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.3,1.407,1198,15.91,16.75,baik,tidak memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.3,1.373,2660,11.41,9.89,baik,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.3,1.261,4597,6.48,14.45,baik,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.4,1.349,1354,13.44,11.46,sedang,tidak memadai,tidak,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.4,1.603,3974,16.5,8.79,buruk,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.4,1.782,2207,22.18,11.42,sedang,tidak memadai,tidak,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.4,1.866,3277,21.15,16.83,buruk,memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.4,1.872,2233,28.68,7.79,buruk,memadai,tidak,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.4,1.764,4010,7.51,10.16,baik,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,150 000- 199 999.5,2.0,702,13.41,6.44,baik,memadai,tidak,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.5,1.371,3755,17.04,8.97,sedang,tidak memadai,ya,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.5,1.534,4718,21.77,18.05,sedang,memadai,tidak,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.5,1.658,4996,17.39,16.36,baik,memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.5,1.677,1266,27.82,9.35,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.5,1.621,4889,20.22,5.25,baik,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.5,1.404,2827,5.99,10.14,buruk,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.6,1.096,3431,7.84,16.12,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.6,1.369,697,23.84,3.74,baik,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.6,1.357,2430,22.89,15.67,sedang,memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.6,1.357,4082,8.84,14.56,sedang,memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.6,1.333,1108,6.47,4.1,sedang,tidak memadai,tidak,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.6,1.305,3772,19.47,13.81,buruk,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.7,1.543,1647,20.89,8.08,baik,memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.7,1.603,4782,8.38,6.01,baik,memadai,tidak,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.7,1.711,3897,16.84,9.54,baik,memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.7,1.757,3011,12.65,6.49,baik,tidak memadai,ya,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.7,1.798,2294,28.28,17.02,baik,memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.7,1.636,1159,10.48,15.61,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.8,1.371,3311,23.33,19.67,buruk,memadai,ya,tinggi
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.8,1.536,1869,17.95,12.08,sedang,memadai,tidak,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.8,1.593,2486,5.29,4.52,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.8,1.589,646,17.92,9.25,sedang,memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.8,1.58,3719,7.49,17.26,baik,tidak memadai,tidak,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.8,1.408,3411,21.48,9.75,baik,tidak memadai,tidak,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.9,1.275,2234,19.14,10.75,sedang,tidak memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.9,1.367,2343,5.26,10.0,baik,memadai,tidak,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.9,1.446,988,10.12,7.0,buruk,memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.9,1.513,3476,24.41,4.24,sedang,tidak memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.9,1.469,2459,11.89,6.07,baik,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.9,1.308,2885,17.48,9.19,sedang,memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.10,1.79,3419,12.8,7.17,sedang,tidak memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.10,1.664,2302,28.04,12.74,baik,memadai,ya,tinggi
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.10,1.712,4561,18.41,13.44,buruk,memadai,ya,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.10,1.761,3869,22.4,12.69,baik,memadai,ya,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.10,1.826,762,7.09,4.44,baik,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.10,1.814,1123,6.01,14.34,sedang,tidak memadai,ya,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.11,1.65,1516,11.48,9.54,sedang,memadai,ya,rendah
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.11,1.555,4143,12.73,17.93,baik,memadai,ya,tinggi
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.11,1.609,2549,22.19,11.94,baik,tidak memadai,tidak,sedang
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,750 000- 999 999.11,1.655,4223,19.23,4.44,baik,memadai,ya,sedang
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,1 000 000- 1 499 999.11,1.658,3608,14.36,3.16,baik,tidak memadai,tidak,rendah
Sumatera Barat,Jagung pipilan/beras jagung/jagung titi,> 1 500 000.11,1.471,4590,21.35,14.94,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Jagung pipilan/beras jagung/jagung titi,200 000- 299 999.12,1.875,2556,9.09,9.81,buruk,tidak memadai,tidak,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,300 000- 499 999.12,1.375,3670,6.59,7.9,sedang,memadai,tidak,rendah
Sumatera Selatan,Jagung pipilan/beras jagung/jagung titi,500 000- 749 999.12,1.422,2182,26.36,10.6,sedang,memadai,ya,tinggi
